country,source_file,status,detail
Maldives_MDV,"MDV_EBS.20.62, Sup. 1.xlsm",OK,MDV_EBS.20.62_Ext_Debt_Data
Maldives_MDV,"MDV_SM.19.95, Sup. 2.XLSM",OK,MDV_SM.19.95_Ext_Debt_Data
Maldives_MDV,"MDV_SM.21.150, Sup. 2.xlsm",OK,MDV_SM.21.150_Ext_Debt_Data
Maldives_MDV,"MDV_SM.22.251, Sup. 2.xlsm",OK,MDV_SM.22.251_Ext_Debt_Data
Mali_MLI,"MLI_EBS.18.35, Sup. 1.xlsm",OK,MLI_EBS.18.35_Inp_Out_Debt
Mali_MLI,"MLI_EBS.19.78, Sup. 1.xlsm",OK,MLI_EBS.19.78_Inp_Out_Debt
Mali_MLI,"MLI_EBS.20.78, Sup. 1.xlsm",OK,MLI_EBS.20.78_Ext_Debt_Data
Mali_MLI,"MLI_EBS.21.6, Sup. 1.xlsm",OK,MLI_EBS.21.6_Ext_Debt_Data
Mali_MLI,"MLI_SM.23.114, Sup. 1.xlsm",OK,MLI_SM.23.114_Ext_Debt_Data
Marshall Islands_MHL,"MHL_SM.18.214, Sup. 2.xlsm",OK,MHL_SM.18.214_Inp_Out_Debt
Marshall Islands_MHL,"MHL_SM.21.66, Sup. 2.xlsm",OK,MHL_SM.21.66_Ext_Debt_Data
Marshall Islands_MHL,"MHL_SM.23.202, Sup. 2.xlsm",OK,MHL_SM.23.202_Ext_Debt_Data
Mauritania_MRT,"MRT_EBS.18.103, Sup. 1.XLSM",OK,MRT_EBS.18.103_Ext_Debt_Data
Mauritania_MRT,"MRT_EBS.19.100, Sup. 2.xlsm",OK,MRT_EBS.19.100_Ext_Debt_Data
Mauritania_MRT,"MRT_EBS.19.28, Sup. 1.xlsm",OK,MRT_EBS.19.28_Ext_Debt_Data
Mauritania_MRT,MRT_EBS.20.137.xlsm,OK,MRT_EBS.20.137_Ext_Debt_Data
Mauritania_MRT,"MRT_EBS.20.66, Sup. 1.xlsm",OK,MRT_EBS.20.66_Ext_Debt_Data
Mauritania_MRT,"MRT_EBS.23.139, Sup. 1.xlsm",OK,MRT_EBS.23.139_Ext_Debt_Data
Mauritania_MRT,"MRT_EBS.23.8, Sup. 1.xlsm",OK,MRT_EBS.23.8_Ext_Debt_Data
Micronesia_FSM,"FSM_SM.19.202, Sup. 2.xlsm",OK,FSM_SM.19.202_Ext_Debt_Data
